transaction_id,customer_id,product_name,transaction_date
1,500,Apple Watch,5/17/2023
2,434,MacBook,2/11/2024
3,433,iPad,6/27/2023
4,768,Apple Watch,11/11/2024
5,925,AirPods,5/3/2022
6,409,iPad,5/9/2024
7,186,iPad,5/17/2022
8,856,iPhone,4/20/2024
9,312,iPhone,1/30/2024
10,630,MacBook,4/7/2023
11,869,AirPods,3/26/2024
12,863,iPad,11/5/2023
13,577,MacBook,8/9/2023
14,881,iPad,11/14/2022
15,184,iPhone,3/2/2022
16,595,iPad,12/25/2022
17,218,iPhone,6/3/2023
18,392,iPad,12/12/2022
19,833,iPad,10/1/2023
20,945,iPad,1/31/2024
21,995,iPhone,6/3/2023
22,660,MacBook,3/12/2023
23,345,iPad,10/18/2023
24,435,Apple Watch,11/5/2022
25,809,MacBook,2/8/2023
26,482,MacBook,7/19/2022
27,550,MacBook,7/31/2022
28,155,MacBook,12/31/2023
29,904,AirPods,11/27/2024
30,907,AirPods,2/14/2023
31,275,iPhone,5/26/2024
32,851,iPad,7/3/2023
33,363,Apple Watch,6/4/2024
34,838,iPad,10/12/2023
35,811,iPhone,6/11/2024
36,406,Apple Watch,11/25/2022
37,305,MacBook,6/7/2023
38,697,iPhone,6/23/2023
39,275,iPad,9/10/2022
40,646,iPhone,10/6/2024
41,315,AirPods,8/29/2022
42,387,Apple Watch,9/7/2023
43,911,iPhone,11/9/2024
44,353,MacBook,7/31/2023
45,222,Apple Watch,3/10/2024
46,205,iPad,3/10/2022
47,699,MacBook,3/2/2024
48,731,Apple Watch,2/12/2024
49,711,iPad,10/16/2022
50,303,iPad,11/5/2024
51,684,iPad,10/3/2023
52,357,Apple Watch,4/23/2024
53,221,iPhone,10/9/2023
54,672,AirPods,8/1/2024
55,666,iPad,11/17/2024
56,802,AirPods,7/22/2022
57,346,iPhone,9/4/2023
58,664,Apple Watch,11/18/2022
59,856,iPad,7/10/2023
60,697,AirPods,7/22/2022
61,991,AirPods,3/27/2024
62,926,Apple Watch,7/4/2023
63,951,iPhone,5/27/2023
64,280,MacBook,2/25/2022
65,995,iPad,6/5/2024
66,693,AirPods,4/13/2023
67,107,MacBook,4/19/2022
68,520,Apple Watch,1/15/2022
69,839,MacBook,12/7/2023
70,459,Apple Watch,8/8/2022
71,553,iPad,10/25/2022
72,493,Apple Watch,6/26/2022
73,399,iPhone,6/6/2022
74,892,Apple Watch,6/26/2023
75,335,Apple Watch,6/13/2023
76,909,MacBook,8/22/2024
77,152,iPad,5/24/2022
78,293,iPad,3/16/2023
79,441,iPhone,1/14/2024
80,724,iPhone,1/25/2022
81,744,iPhone,2/2/2022
82,504,MacBook,2/25/2023
83,699,iPad,3/4/2024
84,481,MacBook,11/10/2024
85,435,iPad,12/20/2022
86,606,Apple Watch,11/18/2023
